class_id = 70, name = font_1_O, ap = 94.37        (TP = 169, FP = 9) 
class_id = 71, name = font_1_P, ap = 96.43        (TP = 163, FP = 14) 
class_id = 72, name = font_1_Q, ap = 95.37        (TP = 170, FP = 11) 
class_id = 73, name = font_1_R, ap = 95.27        (TP = 193, FP = 16) 
class_id = 74, name = font_1_S, ap = 96.59        (TP = 176, FP = 6) 
class_id = 75, name = font_1_T, ap = 94.79        (TP = 514, FP = 22) 
class_id = 76, name = font_2_b, ap = 98.57        (TP = 229, FP = 14) 
class_id = 77, name = font_2_c, ap = 95.58        (TP = 222, FP = 13) 
class_id = 78, name = font_2_d, ap = 97.97        (TP = 238, FP = 10) 
class_id = 79, name = font_2_e, ap = 97.34        (TP = 249, FP = 18) 
class_id = 80, name = font_2_f, ap = 96.03        (TP = 250, FP = 16) 
class_id = 81, name = font_2_g, ap = 90.20        (TP = 222, FP = 61) 
class_id = 82, name = font_2_h, ap = 97.22        (TP = 214, FP = 14) 
class_id = 83, name = font_2_i, ap = 94.21        (TP = 209, FP = 33) 
class_id = 84, name = font_2_j, ap = 87.91        (TP = 178, FP = 25) 
class_id = 85, name = font_2_k, ap = 97.75        (TP = 362, FP = 13) 
class_id = 86, name = font_2_l, ap = 93.23        (TP = 303, FP = 35) 
class_id = 87, name = font_2_m, ap = 98.27        (TP = 176, FP = 8) 
class_id = 88, name = font_2_n, ap = 94.81        (TP = 179, FP = 29) 
class_id = 89, name = font_2_o, ap = 90.16        (TP = 164, FP = 65) 
class_id = 90, name = font_2_p, ap = 95.40        (TP = 166, FP = 16) 
class_id = 91, name = font_2_q, ap = 89.78        (TP = 170, FP = 36) 
class_id = 92, name = font_2_r, ap = 95.87        (TP = 219, FP = 7) 
class_id = 93, name = font_2_s, ap = 96.85        (TP = 175, FP = 8) 
class_id = 94, name = font_2_t, ap = 94.62        (TP = 497, FP = 41) 
class_id = 95, name = font_2_B, ap = 97.97        (TP = 231, FP = 9) 
class_id = 96, name = font_2_C, ap = 97.19        (TP = 222, FP = 20) 
class_id = 97, name = font_2_D, ap = 97.14        (TP = 240, FP = 20) 
class_id = 98, name = font_2_E, ap = 98.46        (TP = 245, FP = 25) 
class_id = 99, name = font_2_F, ap = 99.22        (TP = 256, FP = 12) 
class_id = 100, name = font_2_G, ap = 99.30        (TP = 240, FP = 16) 
class_id = 101, name = font_2_H, ap = 98.40        (TP = 258, FP = 13) 
class_id = 102, name = font_2_I, ap = 91.33        (TP = 188, FP = 14) 
class_id = 103, name = font_2_J, ap = 92.75        (TP = 190, FP = 11) 
class_id = 104, name = font_2_K, ap = 97.69        (TP = 388, FP = 17) 
class_id = 105, name = font_2_L, ap = 95.29        (TP = 314, FP = 17) 
class_id = 106, name = font_2_M, ap = 98.41        (TP = 190, FP = 5) 
class_id = 107, name = font_2_N, ap = 96.81        (TP = 183, FP = 15) 
class_id = 108, name = font_2_O, ap = 95.55        (TP = 179, FP = 25) 
class_id = 109, name = font_2_P, ap = 96.04        (TP = 166, FP = 14) 
class_id = 110, name = font_2_Q, ap = 96.00        (TP = 164, FP = 24) 
class_id = 111, name = font_2_R, ap = 98.68        (TP = 210, FP = 11) 
class_id = 112, name = font_2_S, ap = 98.65        (TP = 185, FP = 3) 
class_id = 113, name = font_2_T, ap = 97.77        (TP = 543, FP = 22) 
class_id = 114, name = font_3_b, ap = 98.88        (TP = 232, FP = 7) 
class_id = 115, name = font_3_c, ap = 99.21        (TP = 233, FP = 5) 
class_id = 116, name = font_3_d, ap = 99.62        (TP = 246, FP = 5) 
class_id = 117, name = font_3_e, ap = 97.16        (TP = 255, FP = 19) 
class_id = 118, name = font_3_f, ap = 97.91        (TP = 262, FP = 8) 
class_id = 119, name = font_3_g, ap = 99.44        (TP = 246, FP = 5) 
class_id = 120, name = font_3_h, ap = 99.67        (TP = 224, FP = 2) 
class_id = 121, name = font_3_i, ap = 94.34        (TP = 201, FP = 12) 
class_id = 122, name = font_3_j, ap = 94.46        (TP = 198, FP = 9) 
class_id = 123, name = font_3_k, ap = 99.00        (TP = 375, FP = 5) 
class_id = 124, name = font_3_l, ap = 95.38        (TP = 315, FP = 25) 
class_id = 125, name = font_3_m, ap = 99.24        (TP = 182, FP = 6) 
class_id = 126, name = font_3_n, ap = 98.14        (TP = 184, FP = 7) 
class_id = 127, name = font_3_o, ap = 98.68        (TP = 174, FP = 6) 
class_id = 128, name = font_3_p, ap = 99.49        (TP = 179, FP = 8) 
class_id = 129, name = font_3_q, ap = 98.98        (TP = 201, FP = 3) 
class_id = 130, name = font_3_r, ap = 98.06        (TP = 227, FP = 15) 
class_id = 131, name = font_3_s, ap = 98.44        (TP = 181, FP = 6) 
class_id = 132, name = font_3_t, ap = 98.08        (TP = 529, FP = 29) 
class_id = 133, name = font_3_B, ap = 98.46        (TP = 232, FP = 6) 
class_id = 134, name = font_3_C, ap = 99.44        (TP = 232, FP = 5) 
class_id = 135, name = font_3_D, ap = 98.55        (TP = 242, FP = 10) 
class_id = 136, name = font_3_E, ap = 97.76        (TP = 245, FP = 14) 
class_id = 137, name = font_3_F, ap = 97.22        (TP = 244, FP = 12) 
class_id = 138, name = font_3_G, ap = 99.75        (TP = 246, FP = 5) 
class_id = 139, name = font_3_H, ap = 98.18        (TP = 254, FP = 5) 
class_id = 140, name = font_3_I, ap = 96.10        (TP = 209, FP = 8) 
class_id = 141, name = font_3_J, ap = 97.72        (TP = 211, FP = 10) 
class_id = 142, name = font_3_K, ap = 98.71        (TP = 396, FP = 12) 
class_id = 143, name = font_3_L, ap = 94.05        (TP = 307, FP = 15) 
class_id = 144, name = font_3_M, ap = 98.82        (TP = 196, FP = 2) 
class_id = 145, name = font_3_N, ap = 99.17        (TP = 184, FP = 2) 
class_id = 146, name = font_3_O, ap = 99.53        (TP = 182, FP = 4) 
class_id = 147, name = font_3_P, ap = 98.74        (TP = 173, FP = 5) 
